scenario,repetition,seed,dwell_s,detection_latency_s,alert_precision,alert_recall,disposition_accuracy,data_completeness,sequence_gaps,rejection_rate,false_positive_alerts,final_disposition,injection_records_json
S2,5,12531,120.0,,0.8,0.7272727272727273,1.0,1.0,0,1.0,10,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 313.0, ""detail"": ""door open 313 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 364.0, ""detail"": ""door open 364 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 363.0, ""detail"": ""door open 363 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 345.0, ""detail"": ""door open 345 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 275.0, ""detail"": ""door open 275 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 254.0, ""detail"": ""door open 254 simulated seconds""}]"
S2,6,12632,120.0,,0.7619047619047619,0.8421052631578947,1.0,1.0,0,1.0,21,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 269.0, ""detail"": ""door open 269 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 323.0, ""detail"": ""door open 323 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 409.0, ""detail"": ""door open 409 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 430.0, ""detail"": ""door open 430 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 412.0, ""detail"": ""door open 412 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 388.0, ""detail"": ""door open 388 simulated seconds""}]"
S2,7,12733,120.0,,0.8064516129032258,0.9615384615384616,1.0,1.0,0,1.0,31,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 302.0, ""detail"": ""door open 302 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 480.0, ""detail"": ""door open 480 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 305.0, ""detail"": ""door open 305 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 381.0, ""detail"": ""door open 381 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 475.0, ""detail"": ""door open 475 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 476.0, ""detail"": ""door open 476 simulated seconds""}]"
S2,8,12834,120.0,,1.0,0.375,1.0,1.0,0,1.0,3,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 332.0, ""detail"": ""door open 332 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 294.0, ""detail"": ""door open 294 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 406.0, ""detail"": ""door open 406 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 351.0, ""detail"": ""door open 351 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 346.0, ""detail"": ""door open 346 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 279.0, ""detail"": ""door open 279 simulated seconds""}]"
S2,9,12935,120.0,,1.0,0.9375,1.0,1.0,0,1.0,15,RELEASE,"[{""kind"": ""door_open"", ""injection_ts"": 1735690200.0, ""duration_s"": 474.0, ""detail"": ""door open 474 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735691100.0, ""duration_s"": 399.0, ""detail"": ""door open 399 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692000.0, ""duration_s"": 401.0, ""detail"": ""door open 401 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735692900.0, ""duration_s"": 261.0, ""detail"": ""door open 261 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735693800.0, ""duration_s"": 454.0, ""detail"": ""door open 454 simulated seconds""}, {""kind"": ""door_open"", ""injection_ts"": 1735694700.0, ""duration_s"": 395.0, ""detail"": ""door open 395 simulated seconds""}]"
S3,0,22026,120.0,1500.0,1.0,1.0,1.0,1.0,0,1.0,17,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,1,22127,120.0,1530.0,1.0,1.0,1.0,1.0,0,1.0,8,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,2,22228,120.0,1440.0,1.0,1.0,1.0,1.0,0,1.0,2,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,3,22329,120.0,1500.0,1.0,1.0,1.0,1.0,0,1.0,15,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,4,22430,120.0,1410.0,1.0,1.0,1.0,1.0,0,1.0,9,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,5,22531,120.0,1500.0,1.0,1.0,1.0,1.0,0,1.0,4,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,6,22632,120.0,1500.0,1.0,1.0,1.0,1.0,0,1.0,8,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,7,22733,120.0,1650.0,1.0,1.0,1.0,1.0,0,1.0,11,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,8,22834,120.0,1380.0,1.0,1.0,1.0,1.0,0,1.0,8,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S3,9,22935,120.0,1380.0,1.0,1.0,1.0,1.0,0,1.0,6,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}]"
S4,0,32026,120.0,1380.0,1.0,1.0,1.0,1.0,0,1.0,4,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,1,32127,120.0,1380.0,1.0,1.0,1.0,1.0,0,1.0,5,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,2,32228,120.0,1590.0,1.0,1.0,1.0,1.0,0,1.0,15,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
S4,3,32329,120.0,1410.0,1.0,1.0,1.0,1.0,0,1.0,6,QUARANTINE,"[{""kind"": ""refrigeration_failure"", ""injection_ts"": 1735711200.0, ""duration_s"": 2700.0, ""detail"": ""target ramp 5 -> 14 C over 45 min""}, {""kind"": ""network_outage"", ""injection_ts"": 1735713000.0, ""duration_s"": 2400.0, ""detail"": ""broker unreachable 40 min""}]"
